Species,Last Assessed,Status,Residential & commercial development,Agriculture & aquaculture,Energy production & mining,Transportation & Service Corridors,Biological resource use,Human intrusions & disturbance,Natural system modifications,"Invasive and other problematic species, genes & diseases",Pollution,Geological events,Climate change & severe weather,Risk of Extinction
Vanvoorstia bennettiana,30/04/2003,EX,1,0,0,1,1,0,0,0,1,0,0,0.4772727272727273
Oeceoclades seychellarum,21/09/2007,EX,0,1,0,0,0,0,0,0,0,0,0,0.375
Nesiota elliptica,13/06/2005,EX,0,1,0,0,1,0,0,1,0,0,0,1.1477272727272727
Cyanea dolichopoda,20/06/2016,EX,0,0,0,0,0,0,0,0,0,1,1,0.125
Acalypha wilderi,29/03/2011,EX,1,1,0,1,0,0,0,1,0,0,0,1.1136363636363635
Dryopteris ascensionis,30/05/2010,EX,0,0,0,0,0,0,0,1,0,1,0,0.5681818181818181
Oldenlandia adscensionis,31/05/2010,EX,0,1,0,0,0,0,0,1,0,0,0,0.8977272727272727
Flabellidium spinosum,19/10/2010,EX,0,1,0,0,1,0,0,0,0,0,0,0.625
Sporobolus durus,30/05/2010,EX,0,1,0,0,0,0,0,1,0,1,0,0.9431818181818181
Acalypha dikuluwensis,15/01/2009,EX,0,0,1,0,0,0,0,0,0,0,0,0.06818181818181818
Basananthe cupricola,15/01/2009,EX,0,0,1,0,0,0,0,0,0,0,0,0.06818181818181818
Viola cryana,7/7/2010,EX,0,0,1,0,1,0,0,0,0,0,0,0.3181818181818182
Begonia eiromischa,1/3/2007,EX,0,1,0,0,1,0,0,0,0,0,0,0.625
Pradosia glaziovii,1/1/1998,EX,1,1,0,0,1,0,0,0,0,0,0,0.8181818181818181
Achyranthes atollensis,30/04/2003,EX,1,0,0,0,0,0,0,1,0,0,0,0.7159090909090908
Cyanea copelandii,30/04/2003,EX,1,1,0,0,0,0,0,1,0,0,0,1.0909090909090908
Vernonia sechellensis,1/2/2007,EX,0,0,0,0,1,0,0,0,0,0,0,0.25
